"Category","Date","Title","Slug","Url","SourcePage","ImageUrl","LocalPath"
"Sermons","2025-11-25T15:35:41.224Z","It isn't fair... but it can be holy","it-isn-t-fair-but-it-can-be-holy","https://www.catconnolly.com/post/it-isn-t-fair-but-it-can-be-holy","https://www.catconnolly.com/writings/categories/sermons","https://static.wixstatic.com/media/aacaad_d163f3d80f224ae686d4d1c4c96d6b91~mv2.jpg","assets/images/writings/aacaad_d163f3d80f224ae686d4d1c4c96d6b91~mv2.jpg"
"Sermons","2025-11-25T15:31:38.359Z","The Invitation to Keep Going","the-invitation-to-keep-going","https://www.catconnolly.com/post/the-invitation-to-keep-going","https://www.catconnolly.com/writings/categories/sermons","https://static.wixstatic.com/media/aacaad_d163f3d80f224ae686d4d1c4c96d6b91~mv2.jpg","assets/images/writings/aacaad_d163f3d80f224ae686d4d1c4c96d6b91~mv2.jpg"
"Sermons","2025-11-25T15:26:23.811Z","A Walking Lump of Dust","a-walking-lump-of-dust","https://www.catconnolly.com/post/a-walking-lump-of-dust","https://www.catconnolly.com/writings/categories/sermons","https://static.wixstatic.com/media/aacaad_e470de94155b41de89cffd6dc4d7851a~mv2.jpg","assets/images/writings/aacaad_e470de94155b41de89cffd6dc4d7851a~mv2.jpg"
"Sermons","2025-11-25T15:17:25.832Z","A Green Thumb","a-green-thumb","https://www.catconnolly.com/post/a-green-thumb","https://www.catconnolly.com/writings/categories/sermons","https://static.wixstatic.com/media/aacaad_54832d6f94a74227bfeecdf3adb6eef3~mv2.jpg","assets/images/writings/aacaad_54832d6f94a74227bfeecdf3adb6eef3~mv2.jpg"
"Sermons","2025-11-25T15:14:55.609Z","We're going to change the world","we-re-going-to-change-the-world","https://www.catconnolly.com/post/we-re-going-to-change-the-world","https://www.catconnolly.com/writings/categories/sermons","https://static.wixstatic.com/media/aacaad_0c709531b707428cba3ae3221cf0ec16~mv2.jpg","assets/images/writings/aacaad_0c709531b707428cba3ae3221cf0ec16~mv2.jpg"
"Sermons","2025-11-25T15:11:56.497Z","Who Are You?","who-are-you","https://www.catconnolly.com/post/who-are-you","https://www.catconnolly.com/writings/categories/sermons","https://static.wixstatic.com/media/aacaad_aace31e7a1d648f8b499deda6f803b57~mv2.png","assets/images/writings/aacaad_aace31e7a1d648f8b499deda6f803b57~mv2.png"
"Sermons","2025-11-25T15:05:33.602Z","Santa and Jesus are both watching!","santa-and-jesus-are-both-watching","https://www.catconnolly.com/post/santa-and-jesus-are-both-watching","https://www.catconnolly.com/writings/categories/sermons","https://static.wixstatic.com/media/aacaad_d1612d78ec874f4dbd62d058e28634d0~mv2.png","assets/images/writings/aacaad_d1612d78ec874f4dbd62d058e28634d0~mv2.png"
"Sermons","2025-11-25T15:00:41.208Z","Advent Baking","advent-baking","https://www.catconnolly.com/post/advent-baking","https://www.catconnolly.com/writings/categories/sermons","https://static.wixstatic.com/media/aacaad_1e49585db5ed47aea2eba1928985bfe0~mv2.png","assets/images/writings/aacaad_1e49585db5ed47aea2eba1928985bfe0~mv2.png"
"Sermons","2025-11-25T14:52:23.662Z","It's the Zombie Apocalypse! ","it-s-the-zombie-apocalypse","https://www.catconnolly.com/post/it-s-the-zombie-apocalypse","https://www.catconnolly.com/writings/categories/sermons","https://static.wixstatic.com/media/aacaad_51b13feac93d455e96bf39d34a5beb73~mv2.jpg","assets/images/writings/aacaad_51b13feac93d455e96bf39d34a5beb73~mv2.jpg"
"Sermons","2025-11-25T14:36:49.313Z","The Sainthood of Baptism","the-sainthood-of-baptism","https://www.catconnolly.com/post/the-sainthood-of-baptism","https://www.catconnolly.com/writings/categories/sermons","https://static.wixstatic.com/media/aacaad_0ec5e3b4bfe64809856b9ffac3f5210a~mv2.jpg","assets/images/writings/aacaad_0ec5e3b4bfe64809856b9ffac3f5210a~mv2.jpg"
