"Category","Date","Title","Slug","Url","SourcePage"
"Sermons","2025-11-25T15:35:41.224Z","It isn't fair... but it can be holy","it-isn-t-fair-but-it-can-be-holy","https://www.catconnolly.com/post/it-isn-t-fair-but-it-can-be-holy","https://www.catconnolly.com/writings/categories/sermons"
"Sermons","2025-11-25T15:31:38.359Z","The Invitation to Keep Going","the-invitation-to-keep-going","https://www.catconnolly.com/post/the-invitation-to-keep-going","https://www.catconnolly.com/writings/categories/sermons"
"Sermons","2025-11-25T15:26:23.811Z","A Walking Lump of Dust","a-walking-lump-of-dust","https://www.catconnolly.com/post/a-walking-lump-of-dust","https://www.catconnolly.com/writings/categories/sermons"
"Sermons","2025-11-25T15:17:25.832Z","A Green Thumb","a-green-thumb","https://www.catconnolly.com/post/a-green-thumb","https://www.catconnolly.com/writings/categories/sermons"
"Sermons","2025-11-25T15:14:55.609Z","We're going to change the world","we-re-going-to-change-the-world","https://www.catconnolly.com/post/we-re-going-to-change-the-world","https://www.catconnolly.com/writings/categories/sermons"
"Sermons","2025-11-25T15:11:56.497Z","Who Are You?","who-are-you","https://www.catconnolly.com/post/who-are-you","https://www.catconnolly.com/writings/categories/sermons"
"Sermons","2025-11-25T15:05:33.602Z","Santa and Jesus are both watching!","santa-and-jesus-are-both-watching","https://www.catconnolly.com/post/santa-and-jesus-are-both-watching","https://www.catconnolly.com/writings/categories/sermons"
"Sermons","2025-11-25T15:00:41.208Z","Advent Baking","advent-baking","https://www.catconnolly.com/post/advent-baking","https://www.catconnolly.com/writings/categories/sermons"
"Sermons","2025-11-25T14:52:23.662Z","It's the Zombie Apocalypse! ","it-s-the-zombie-apocalypse","https://www.catconnolly.com/post/it-s-the-zombie-apocalypse","https://www.catconnolly.com/writings/categories/sermons"
"Sermons","2025-11-25T14:36:49.313Z","The Sainthood of Baptism","the-sainthood-of-baptism","https://www.catconnolly.com/post/the-sainthood-of-baptism","https://www.catconnolly.com/writings/categories/sermons"
"Sermons","2024-10-29T14:26:26.607Z","Beauty in Mystery (Trinity)","beauty-in-mystery-trinity","https://www.catconnolly.com/post/beauty-in-mystery-trinity","https://www.catconnolly.com/writings/categories/sermons"
"Sermons","2024-10-29T13:47:49.172Z","God doesn't come out well...","god-doesn-t-come-out-well","https://www.catconnolly.com/post/god-doesn-t-come-out-well","https://www.catconnolly.com/writings/categories/sermons"
"Sermons","2024-10-29T13:37:09.044Z","The Sound of Silence","the-sound-of-silence","https://www.catconnolly.com/post/the-sound-of-silence","https://www.catconnolly.com/writings/categories/sermons/page/2"
"Sermons","2024-10-24T16:57:21.204Z","A Rusty Heart?","a-rusty-heart","https://www.catconnolly.com/post/a-rusty-heart","https://www.catconnolly.com/writings/categories/sermons/page/2"
"Sermons","2024-10-24T16:55:25.821Z","A Miracle of Abundance","a-miracle-of-abundance","https://www.catconnolly.com/post/a-miracle-of-abundance","https://www.catconnolly.com/writings/categories/sermons/page/2"
"Sermons","2024-10-24T16:44:41.074Z","I've got that joy joy joy!","i-ve-got-that-joy-joy-joy","https://www.catconnolly.com/post/i-ve-got-that-joy-joy-joy","https://www.catconnolly.com/writings/categories/sermons/page/2"
"Sermons","2024-10-24T16:39:13.664Z","What Doesn't Kill You","what-doesn-t-kill-you","https://www.catconnolly.com/post/what-doesn-t-kill-you","https://www.catconnolly.com/writings/categories/sermons/page/2"
"Sermons","2024-06-17T21:40:31.344Z","It Drives Me Crazy!","it-drives-me-crazy","https://www.catconnolly.com/post/it-drives-me-crazy","https://www.catconnolly.com/writings/categories/sermons/page/2"
"Sermons","2024-06-17T21:38:23.992Z","Holy, holy, holy (Trinity Sunday)","holy-holy-holy-trinity-sunday","https://www.catconnolly.com/post/holy-holy-holy-trinity-sunday","https://www.catconnolly.com/writings/categories/sermons/page/2"
"Sermons","2024-05-18T19:28:47.154Z","Playing with Language: Exploring God's Mystery (Mothering Sunday)","playing-with-language-exploring-god-s-mystery-mothering-sunday","https://www.catconnolly.com/post/playing-with-language-exploring-god-s-mystery-mothering-sunday","https://www.catconnolly.com/writings/categories/sermons/page/2"
"Sermons","2024-05-18T19:24:58.626Z","To Abide: Nature or Nurture?","to-abide-nature-or-nurture","https://www.catconnolly.com/post/to-abide-nature-or-nurture","https://www.catconnolly.com/writings/categories/sermons/page/2"
"Sermons","2024-05-18T01:13:29.392Z","The Faith of Doubting Thomas","the-faith-of-doubting-thomas","https://www.catconnolly.com/post/the-faith-of-doubting-thomas","https://www.catconnolly.com/writings/categories/sermons/page/2"
"Sermons","2024-05-18T01:11:23.752Z","Named, Known, Cherished (Easter Sunday)","named-known-cherished-easter-sunday","https://www.catconnolly.com/post/named-known-cherished-easter-sunday","https://www.catconnolly.com/writings/categories/sermons/page/2"
"Sermons","2024-05-18T01:08:41.659Z","Woven into Life (Good Friday)","woven-into-life-good-friday","https://www.catconnolly.com/post/woven-into-life-good-friday","https://www.catconnolly.com/writings/categories/sermons/page/2"
"Sermons","2024-05-17T21:12:13.883Z","The Gift of Holy Week","the-gift-of-holy-week","https://www.catconnolly.com/post/the-gift-of-holy-week","https://www.catconnolly.com/writings/categories/sermons/page/3"
"Sermons","2024-05-17T21:10:09.750Z","Hoping for Faith","hoping-for-faith","https://www.catconnolly.com/post/hoping-for-faith","https://www.catconnolly.com/writings/categories/sermons/page/3"
"Sermons","2024-01-16T01:29:57.306Z","Best Gift Ever!","best-gift-ever","https://www.catconnolly.com/post/best-gift-ever","https://www.catconnolly.com/writings/categories/sermons/page/3"
"Sermons","2024-01-16T01:27:04.779Z","Perfect Illusion","perfect-illusion","https://www.catconnolly.com/post/perfect-illusion","https://www.catconnolly.com/writings/categories/sermons/page/3"
"Sermons","2024-01-16T01:18:35.514Z","Deep Cleaning with John (Advent 2)","deep-cleaning-with-john-advent-2","https://www.catconnolly.com/post/deep-cleaning-with-john-advent-2","https://www.catconnolly.com/writings/categories/sermons/page/3"
"Sermons","2024-01-16T01:12:53.290Z","Cheese or Grit? (Christ the King)","cheese-or-grit-christ-the-king","https://www.catconnolly.com/post/cheese-or-grit-christ-the-king","https://www.catconnolly.com/writings/categories/sermons/page/3"
"Sermons","2024-01-16T01:08:27.429Z","Annual Wisdom","annual-wisdom","https://www.catconnolly.com/post/annual-wisdom","https://www.catconnolly.com/writings/categories/sermons/page/3"
"Sermons","2023-05-31T17:22:07.630Z","Glimpsing Glory","glimpsing-glory","https://www.catconnolly.com/post/glimpsing-glory","https://www.catconnolly.com/writings/categories/sermons/page/3"
"Sermons","2023-05-09T14:29:24.101Z","Come and See! (Easter Vigil)","come-and-see","https://www.catconnolly.com/post/come-and-see","https://www.catconnolly.com/writings/categories/sermons/page/3"
"Sermons","2023-05-09T14:20:29.630Z","Vulnerability of Feet (Maundy Thursday)","vulnerability-of-feet-maundy-thursday","https://www.catconnolly.com/post/vulnerability-of-feet-maundy-thursday","https://www.catconnolly.com/writings/categories/sermons/page/3"
"Sermons","2023-05-09T14:16:31.063Z","All Things in Common","all-things-in-common","https://www.catconnolly.com/post/all-things-in-common","https://www.catconnolly.com/writings/categories/sermons/page/3"
"Sermons","2023-04-03T15:32:15.168Z","A Palm Sunday Story","a-palm-sunday-story","https://www.catconnolly.com/post/a-palm-sunday-story","https://www.catconnolly.com/writings/categories/sermons/page/3"
"Sermons","2023-04-03T15:23:35.944Z","Dry Bones don't get the last word","dry-bones-don-t-get-the-last-word","https://www.catconnolly.com/post/dry-bones-don-t-get-the-last-word","https://www.catconnolly.com/writings/categories/sermons/page/4"
"Sermons","2023-03-13T18:26:31.775Z","Word Play with Nicodemus","word-play-with-nicodemus","https://www.catconnolly.com/post/word-play-with-nicodemus","https://www.catconnolly.com/writings/categories/sermons/page/4"
"Sermons","2023-02-13T18:16:01.955Z","Artistic Envy","artistic-envy","https://www.catconnolly.com/post/artistic-envy","https://www.catconnolly.com/writings/categories/sermons/page/4"
"Sermons","2023-01-30T17:43:38.618Z","If only, if only...","if-only-if-only","https://www.catconnolly.com/post/if-only-if-only","https://www.catconnolly.com/writings/categories/sermons/page/4"
"Sermons","2023-01-10T19:05:39.566Z","What's in a name?","what-s-in-a-name","https://www.catconnolly.com/post/what-s-in-a-name","https://www.catconnolly.com/writings/categories/sermons/page/4"
"Sermons","2023-01-10T19:03:58.807Z","The Story of Light","the-story-of-light","https://www.catconnolly.com/post/the-story-of-light","https://www.catconnolly.com/writings/categories/sermons/page/4"
